"Test","Genotype","AgScore","Bulk.Weight","HT","Hundred.Seed.Weight","LDG","Oil.Dry.Basis","P_O","Protein.Dry.Basis"
"Yield Test 1","Roy",2.58333333333333,2224.57458587111,34.8333333333333,13.1,1.91666666666667,21.9,64.4333333333333,42.5333333333333
"Yield Test 2","Dunphy",1.99999999999998,2176.12019038882,27.6666666666667,16.475,1.74999999999999,22.23,63.5966666666667,41.3666666666666
"Yield Test 2","LMN09-119",3.91666666666665,1873.40967693307,31.1666666666666,16.825,2.83333333333332,20.145,69.3716666666667,49.2266666666666
"Yield Test 2","N09-09",2.16666666666666,2297.44111953531,37.1666666666667,16.575,1.75,21.0283333333333,67.6583333333334,46.63
"Yield Test 2","N18-1561",2.33333333333332,2159.43856263118,34.6666666666666,15.55,2.08333333333332,21.7533333333333,66.015,44.2616666666666
"Yield Test 2","N18-1564",1.91666666666666,2364.83341615266,35.8333333333333,15.8,1.66666666666667,23.1783333333333,65.0083333333334,41.83
"Yield Test 2","N18-1572",2.24999999999999,2303.24824937555,34.6666666666666,16.95,2.16666666666666,22.7866666666667,66.32,43.5333333333333
"Yield Test 2","N18-1575",2.25,2295.48075086312,33,18.05,1.99999999999999,21.5416666666667,68.9766666666667,47.435
"Yield Test 2","N18-1579",2.41666666666666,2434.66692658819,36.8333333333333,15.925,2.33333333333333,22.86,65.4383333333334,42.5783333333333
"Yield Test 2","N18-1595",2.24999999999999,2445.1345555359,35.1666666666666,15.875,2,21.3333333333333,66.9316666666667,45.5983333333333
"Yield Test 2","N18-1597",2.33333333333333,2366.4239039433,36.3333333333334,15.875,2.33333333333334,22.8983333333333,65.5850000000001,42.6866666666667
"Yield Test 2","N18-1604",2.66666666666668,2495.73426013114,35.8333333333333,17.325,2.66666666666666,22.8016666666667,66.0566666666667,43.255
"Yield Test 2","N18-1608",2.08333333333332,2473.76333576741,37.3333333333333,15.025,2,21.545,64.7666666666667,43.2216666666666
"Yield Test 2","N18-1614",2.08333333333333,2155.81372999204,35.3333333333333,14.65,1.91666666666666,20.39,66.2233333333334,45.8333333333333
"Yield Test 2","N18-1620",2.08333333333333,2728.16740609349,34.9999999999999,15.475,1.83333333333333,22.3133333333333,65.3266666666667,43.0133333333333
